setting,seed,geometry,first_order_head_gain,actual_head_loss_decrease,head_gradient_fro_norm,head_gradient_nuclear_norm,head_gradient_nuclear_rank,tail_activation_stable_rank,tail_downstream_stable_rank,tail_downstream_aware_stable_rank,theory_ratio_spectral_over_fro,predicted_spectral_less_drift,step_size,parameter_update_fro_norm,parameter_update_op_norm,tail_output_drift_fro,tail_output_drift_rms,tail_self_mse_increase,tail_ce_before,tail_ce_after,tail_ce_increase,tail_margin_before,tail_margin_after,tail_margin_drop,tail_accuracy_before,tail_accuracy_after
high_head_rank_low_tail_srank,0,frobenius,0.4278557185232141,0.4265536351898973,1.7114228740928563,5.0209978992926665,8.60726976830341,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189315,True,0.24999999999999997,0.24999999999999997,0.14607728094817768,0.7156297824155564,0.028287750923548398,0.0004000984261563566,0.4382630002241498,0.43776767504929065,-0.0004953251748591736,2.9999999999999982,3.0064528078322104,-0.006452807832212137,1.0,1.0
high_head_rank_low_tail_srank,0,spectral,0.4278557185232141,0.4263429469145734,1.7114228740928563,5.0209978992926665,8.60726976830341,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189315,True,0.08521328371467518,0.26946806344050733,0.08521328371467524,0.417458618024398,0.016501500772791482,0.00013614976387721893,0.4382630002241498,0.43796451546735826,-0.0002984847567915616,2.9999999999999982,3.0037702514798643,-0.0037702514798660935,1.0,1.0
high_head_rank_low_tail_srank,1,frobenius,0.42785571852321413,0.4265536351898689,1.7114228740928565,5.020997899292666,8.607269768303407,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189319,True,0.24999999999999994,0.24999999999999994,0.14607728094817773,0.7156297824155036,0.02828775092354632,0.00040009842615629785,0.4350889066305499,0.4343333272066618,-0.0007555794238880975,2.999999999999999,2.9982219538265165,0.0017780461734826503,1.0,1.0
high_head_rank_low_tail_srank,1,spectral,0.42785571852321413,0.42634294691460184,1.7114228740928565,5.020997899292666,8.607269768303407,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189319,True,0.08521328371467517,0.2694680634405073,0.08521328371467521,0.41745861802452544,0.016501500772796527,0.00013614976387730217,0.4350889066305499,0.4346417967386943,-0.00044710989185559047,2.999999999999999,2.998964234176463,0.001035765823536039,1.0,1.0
high_head_rank_low_tail_srank,2,frobenius,0.42785571852321413,0.426553635189876,1.7114228740928565,5.0209978992926665,8.607269768303409,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189317,True,0.2499999999999999,0.24999999999999994,0.14607728094817765,0.7156297824154786,0.028287750923545327,0.00040009842615626977,0.4194237304482838,0.4171002687739489,-0.0023234616743348924,2.999999999999999,3.0204704579571224,-0.020470457957123323,1.0,1.0
high_head_rank_low_tail_srank,2,spectral,0.42785571852321413,0.4263429469145805,1.7114228740928565,5.0209978992926665,8.607269768303409,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189317,True,0.08521328371467517,0.2694680634405073,0.08521328371467521,0.41745861802440176,0.01650150077279163,0.00013614976387722142,0.4194237304482838,0.4180653278845861,-0.0013584025636976804,2.999999999999999,3.0119403376221174,-0.011940337622118324,1.0,1.0
high_head_rank_low_tail_srank,3,frobenius,0.42785571852321425,0.426553635189876,1.711422874092857,5.020997899292668,8.60726976830341,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189315,True,0.25000000000000006,0.25,0.1460772809481777,0.7156297824155026,0.028287750923546268,0.0004000984261562964,0.37962557712995476,0.37981833935154186,0.000192762221587095,3.0,2.9958572949622493,0.004142705037750716,1.0,1.0
high_head_rank_low_tail_srank,3,spectral,0.42785571852321425,0.42634294691459473,1.711422874092857,5.020997899292668,8.60726976830341,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189315,True,0.0852132837146752,0.26946806344050733,0.08521328371467524,0.41745861802438466,0.016501500772790955,0.00013614976387721025,0.37962557712995476,0.3797367592697511,0.00011118213979632863,3.0,2.997579459248765,0.0024205407512352117,1.0,1.0
high_head_rank_low_tail_srank,4,frobenius,0.42785571852321413,0.4265536351898831,1.7114228740928565,5.0209978992926665,8.60726976830341,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189315,True,0.24999999999999994,0.24999999999999994,0.1460772809481777,0.7156297824154887,0.028287750923545737,0.00040009842615628137,0.43875428027730495,0.44098222941152576,0.002227949134220808,3.000000000000001,2.9845681265184676,0.015431873481533298,1.0,0.984375
high_head_rank_low_tail_srank,4,spectral,0.42785571852321413,0.42634294691458763,1.7114228740928565,5.0209978992926665,8.60726976830341,1.0023958333333336,1.0224999999999997,1.0000023437499996,0.11618113184189315,True,0.08521328371467514,0.2694680634405074,0.08521328371467525,0.41745861802441125,0.016501500772792006,0.0001361497638772276,0.43875428027730495,0.4400513416065472,0.0012970613292422328,3.000000000000001,2.9909976392103923,0.009002360789608588,1.0,1.0
