alpha_scope,seed_count,family_size,one_sided_alpha,log_ratio_sd,target_power,minimum_detectable_ratio,minimum_detectable_log_ratio,claim_interpretation
raw_single_setting,3,1,0.05,0.05,0.5,1.0744645671210695,0.07182246040134631,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.05,0.8,1.1217205796780008,0.11486373836532024,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.05,0.9,1.1489293094397455,0.13883047342283197,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.1,0.5,1.1544741059986672,0.1436449208026925,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.1,0.8,1.2582570588731496,0.22972747673064015,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.1,0.9,1.3200385580896903,0.27766094684566384,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.2,0.5,1.3328104614214216,0.2872898416053848,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.2,0.8,1.5832108262041087,0.45945495346128024,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.2,0.9,1.7425017948435082,0.5553218936913275,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.35,0.5,1.6532734353763212,0.5027572228094233,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.35,0.8,2.23456408451508,0.8040461685572403,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.35,0.9,2.642732220412629,0.9718133139598228,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.5,0.5,2.0507890140703036,0.7182246040134618,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.5,0.8,3.1538924350186206,1.1486373836532007,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.5,0.9,4.008049581053255,1.3883047342283186,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.75,0.5,2.9368480253535836,1.0773369060201925,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.75,0.8,5.601061175868131,1.7229560754798008,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
raw_single_setting,3,1,0.05,0.75,0.9,8.024160888292089,2.0824571013424777,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
holm_bonferroni_worst_case,3,8,0.00625,0.05,0.5,1.2382189351442492,0.21367400446244234,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
holm_bonferroni_worst_case,3,8,0.00625,0.05,0.8,1.3872208180573198,0.327302334181619,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
holm_bonferroni_worst_case,3,8,0.00625,0.05,0.9,1.4798683514242965,0.3919531320792428,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
holm_bonferroni_worst_case,3,8,0.00625,0.1,0.5,1.5331861313497581,0.4273480089248845,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
holm_bonferroni_worst_case,3,8,0.00625,0.1,0.8,1.9243815980516192,0.6546046683632379,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
holm_bonferroni_worst_case,3,8,0.00625,0.1,0.9,2.190010337547265,0.7839062641584855,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
holm_bonferroni_worst_case,3,8,0.00625,0.2,0.5,2.350659713363238,0.8546960178497691,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
holm_bonferroni_worst_case,3,8,0.00625,0.2,0.8,3.7032445349197034,1.3092093367264759,phase2 null is informative only for held-out architecture effects at or above this audited detectable scale under the assumed across-seed log-ratio SD
