warmup_steps,layer_index,parameter,shape,seeds,mean_gradient_nuclear_rank,mean_alignment_ratio_spectral_over_fro,mean_step_size_ratio_spectral_over_fro,mean_tail_accuracy_before,geomean_jvp_tail_drift_sq_ratio_spectral_over_fro,jvp_tail_drift_sq_ratio_ci95_low,jvp_tail_drift_sq_ratio_ci95_high,geomean_scaled_jvp_tail_drift_sq_ratio_spectral_over_fro,scaled_jvp_tail_drift_sq_ratio_ci95_low,scaled_jvp_tail_drift_sq_ratio_ci95_high,geomean_observed_tail_drift_sq_ratio_spectral_over_fro,observed_tail_drift_sq_ratio_ci95_low,observed_tail_drift_sq_ratio_ci95_high,spectral_less_observed_tail_drift_fraction
2000,1,conv1.weight,64x3x3x3,10,4.445394909819826,2.102831726488303,0.4780164505836077,0.5142,1.2213706242404996,1.1990191121044502,1.2441388020407778,0.2776548651198526,0.24966574874762223,0.30878173923109165,0.5237841697559156,0.46559224978596453,0.5892491909240628,1.0
2000,2,layer1.0.conv1.weight,64x64x3x3,10,13.586884374305901,3.6795688688901387,0.2726991990077866,0.5142,1.7742302761074353,1.712847557862703,1.837812745335153,0.13149606261634494,0.11982765139656529,0.1443007042370968,0.5456414671340071,0.5079578236329082,0.5861207305103184,1.0
2000,3,layer1.0.conv2.weight,64x64x3x3,10,18.380063319783428,4.275611214995719,0.2351113585473546,0.5142,1.6856905478940731,1.5940436192614993,1.782606566673424,0.09270020331699036,0.07984905059107143,0.10761966023891884,0.4584681788364172,0.43199646847491907,0.4865620122952104,1.0
2000,4,layer1.1.conv1.weight,64x64x3x3,10,16.025102257980727,3.9837872875636045,0.2534484693105775,0.5142,1.6028815474131985,1.540291224650559,1.668015251869401,0.10197833552344326,0.08657924258870979,0.12011633048737376,0.40384058311825627,0.3653683800526057,0.44636379467159143,1.0
2000,5,layer1.1.conv2.weight,64x64x3x3,10,17.310023907928315,4.145549192680726,0.2429987158835157,0.5142,1.5375970171747815,1.4895351288924978,1.587209688020331,0.09012623978833262,0.07765523381935903,0.10460002113030888,0.37380966127714077,0.34111524817924765,0.4096376916891857,1.0
2000,6,layer2.0.conv1.weight,128x64x3x3,10,21.131451112481347,4.580528326286185,0.21985216947103808,0.5142,1.8312852213707314,1.7115167613498987,1.9594348344948782,0.08790024871641684,0.07428664134143238,0.10400865599638592,0.32977882202578995,0.29278323366581904,0.37144910961960637,1.0
2000,7,layer2.0.conv2.weight,128x128x3x3,10,26.427267402283906,5.129147207914108,0.19588771193786944,0.5142,1.9859328987991076,1.9057923276795339,2.06944346519366,0.07583978113766296,0.06710971374683802,0.08570551238984561,0.3104198319283665,0.2873147013201939,0.335383019426659,1.0
2000,8,layer2.0.downsample.0.weight,128x64x1x1,10,10.627972098782445,3.255016327752334,0.3082136839088893,0.5142,1.2862117469401564,1.259408755147679,1.3135851654238024,0.12178414404020678,0.11043398729494831,0.13430084435866674,0.3788442494969894,0.35676446189573746,0.4022905325667807,1.0
2000,9,layer2.1.conv1.weight,128x128x3x3,10,25.883838493511423,5.078196517591749,0.19766620074482372,0.5142,2.1119734961755654,2.0464505124638093,2.1795943861735196,0.08220533224829268,0.07500090425033988,0.09010180233955734,0.26815010965286556,0.24267786641117303,0.29629600082693536,1.0
2000,10,layer2.1.conv2.weight,128x128x3x3,10,18.880919025059114,4.338838112002998,0.23119332477501037,0.5142,2.3072573622903025,2.1885741144921136,2.432376633074716,0.12293418758848014,0.11303147082191732,0.13370448396491344,0.272214871681191,0.25075997161948255,0.2955054424589434,1.0
