problem_family,setting,kappa,seed,checkpoint_source,checkpoint_step,target_relative_update_norm,comparison,delta_loss_ratio,delta_loss_delta,delta_loss_PolarMuon,delta_loss_GD,update_grad_inner_ratio,update_grad_inner_delta,update_grad_inner_PolarMuon,update_grad_inner_GD,update_grad_cosine_ratio,update_grad_cosine_delta,update_grad_cosine_PolarMuon,update_grad_cosine_GD,nrUpdate_ratio,nrUpdate_delta,nrUpdate_PolarMuon,nrUpdate_GD,stUpdate_ratio,stUpdate_delta,stUpdate_PolarMuon,stUpdate_GD,update_op_norm_ratio,update_op_norm_delta,update_op_norm_PolarMuon,update_op_norm_GD,delta_loss_FreshAdamSign,update_grad_inner_FreshAdamSign,update_grad_cosine_FreshAdamSign,nrUpdate_FreshAdamSign,stUpdate_FreshAdamSign,update_op_norm_FreshAdamSign
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.0003,PolarMuon/GD,0.33100841321647373,-8.73693177042272e-08,4.322921212825386e-08,1.3059852983248106e-07,0.33151089708482406,-8.704930738315836e-08,4.316868271353881e-08,1.3021799009669717e-07,0.33151089708482395,-0.6684891029151756,0.3315108970848238,0.9999999999999994,4.243890273144328,3.821835703048122,5.0,1.1781642969518777,4.962113908767335,3.992364929155347,4.999999999999997,1.0076350708446502,0.17872598378832105,-0.0012351901915158181,0.0002688025893752974,0.0015039927808911154,,,,,,
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.0003,FreshAdamSign/GD,0.7086250690005034,-3.805313761857487e-08,,1.3059852983248106e-07,0.7108025398344163,-3.7658712003831945e-08,,1.3021799009669717e-07,0.7108025398344162,-0.2891974601655837,,0.9999999999999994,1.4583903356889714,0.5400591275765323,,1.1781642969518777,1.1006008408562837,0.10136893540325276,,1.0076350708446502,0.7272149296850429,-0.00041026677648857077,,0.0015039927808911154,9.254539221390619e-08,9.255927809286523e-08,0.7108025398344158,1.71822342452841,1.109004006247903,0.0010937260044025447
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.0003,PolarMuon/FreshAdamSign,0.4671136087287347,-4.931618008565232e-08,4.322921212825386e-08,,0.46638957868953385,-4.9390595379326416e-08,4.316868271353881e-08,,0.46638957868953385,-0.379291642749592,0.3315108970848238,,2.9099824438561117,3.28177657547159,5.0,,4.508549988846762,3.890995993752094,4.999999999999997,,0.24576775928641528,-0.0008249234150272474,0.0002688025893752974,,9.254539221390619e-08,9.255927809286523e-08,0.7108025398344158,1.71822342452841,1.109004006247903,0.0010937260044025447
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.001,PolarMuon/GD,0.3298465209259462,-2.937208106851795e-07,1.4456805874068905e-07,4.3828886942586854e-07,0.33151089708482406,-2.9016435794386123e-07,1.438956090451294e-07,4.3405996698899063e-07,0.33151089708482395,-0.6684891029151756,0.3315108970848238,0.9999999999999994,4.243890273144328,3.821835703048122,5.0,1.1781642969518777,4.962113908767336,3.992364929155348,4.999999999999998,1.0076350708446502,0.17872598378832108,-0.00411730063838606,0.0008960086312509914,0.005013309269637051,,,,,,
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.001,FreshAdamSign/GD,0.7035875967477923,-1.299142571052148e-07,,4.3828886942586854e-07,0.7108025398344163,-1.255290400127732e-07,,4.3405996698899063e-07,0.710802539834416,-0.2891974601655839,,0.9999999999999994,1.4583903356889711,0.5400591275765318,,1.1781642969518777,1.100600840856284,0.10136893540325298,,1.0076350708446502,0.7272149296850433,-0.0013675559216285672,,0.005013309269637051,3.0837461232065375e-07,3.0853092697621743e-07,0.7108025398344155,1.7182234245284096,1.1090040062479032,0.003645753348008484
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.001,PolarMuon/FreshAdamSign,0.4688066169025758,-1.638065535799647e-07,1.4456805874068905e-07,,0.4663895786895339,-1.6463531793108803e-07,1.438956090451294e-07,,0.466389578689534,-0.37929164274959176,0.3315108970848238,,2.9099824438561126,3.28177657547159,5.0,,4.508549988846762,3.890995993752095,4.999999999999998,,0.2457677592864152,-0.0027497447167574925,0.0008960086312509914,,3.0837461232065375e-07,3.0853092697621743e-07,0.7108025398344155,1.7182234245284096,1.1090040062479032,0.003645753348008484
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.003,PolarMuon/GD,0.3266067223153902,-9.025186131146102e-07,4.3773624689501613e-07,1.3402548600096264e-06,0.331510897084824,-8.704930738315837e-07,4.3168682713538816e-07,1.302179900966972e-06,0.3315108970848239,-0.6684891029151758,0.33151089708482373,0.9999999999999996,4.243890273144327,3.821835703048122,5.0,1.1781642969518782,4.962113908767334,3.9923649291553462,4.9999999999999964,1.0076350708446502,0.17872598378832105,-0.01235190191515818,0.0026880258937529737,0.015039927808911153,,,,,,
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.003,FreshAdamSign/GD,0.6895210171914519,-4.1612096564000185e-07,,1.3402548600096264e-06,0.7108025398344162,-3.7658712003831976e-07,,1.302179900966972e-06,0.7108025398344161,-0.2891974601655838,,0.9999999999999996,1.4583903356889705,0.5400591275765314,,1.1781642969518782,1.1006008408562835,0.10136893540325254,,1.0076350708446502,0.7272149296850431,-0.004102667764885704,,0.015039927808911153,9.241338943696245e-07,9.255927809286521e-07,0.7108025398344158,1.7182234245284096,1.1090040062479027,0.010937260044025449
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,1,0.003,PolarMuon/FreshAdamSign,0.4736718884157011,-4.863976474746084e-07,4.3773624689501613e-07,,0.46638957868953396,-4.93905953793264e-07,4.3168682713538816e-07,,0.4663895786895338,-0.37929164274959204,0.33151089708482373,,2.9099824438561126,3.28177657547159,5.0,,4.508549988846762,3.8909959937520937,4.9999999999999964,,0.24576775928641523,-0.008249234150272476,0.0026880258937529737,,9.241338943696245e-07,9.255927809286521e-07,0.7108025398344158,1.7182234245284096,1.1090040062479027,0.010937260044025449
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,3,0.0003,PolarMuon/GD,0.3927426617832078,-1.958952818639781e-07,1.266949439523513e-07,3.225902258163294e-07,0.39325223786294433,-1.9522944394906132e-07,1.2653432038924336e-07,3.217637643383047e-07,0.39325223786294433,-0.6067477621370556,0.39325223786294433,1.0,4.322876595357681,3.843362772518309,5.0,1.156637227481691,4.969874182713217,3.9939383138930196,4.999999999999997,1.0060616861069778,0.21146431512430455,-0.001007751499867959,0.00027025217098280367,0.0012780036708507627,,,,,,
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,3,0.0003,FreshAdamSign/GD,0.6406950324546734,-1.159082706173758e-07,,3.225902258163294e-07,0.6413288642750835,-1.154073747903441e-07,,3.217637643383047e-07,0.6413288642750835,-0.3586711357249165,,1.0,1.684699908102771,0.7919494033649574,,1.156637227481691,1.2154336799793815,0.21673957132428767,,1.0060616861069778,0.8461918976537022,-0.0001965673194051585,,0.0012780036708507627,2.0668195519895358e-07,2.0635638954796058e-07,0.6413288642750835,1.9485866308466484,1.2228012574312654,0.0010814363514456042
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,3,0.0003,PolarMuon/FreshAdamSign,0.6129947040146481,-7.998701124660229e-08,1.266949439523513e-07,,0.6131834379658728,-7.982206915871722e-08,1.2653432038924336e-07,,0.6131834379658728,-0.24807662641213918,0.39325223786294433,,2.5659623856844034,3.0514133691533516,5.0,,4.088971915602606,3.777198742568732,4.999999999999997,,0.24990113437702138,-0.0008111841804628006,0.00027025217098280367,,2.0668195519895358e-07,2.0635638954796058e-07,0.6413288642750835,1.9485866308466484,1.2228012574312654,0.0010814363514456042
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,3,0.001,PolarMuon/GD,0.3915689694303095,-6.581498337367598e-07,4.2356658220691127e-07,1.081716415943671e-06,0.39325223786294433,-6.50764813163538e-07,4.2178106796414464e-07,1.0725458811276826e-06,0.39325223786294433,-0.6067477621370556,0.39325223786294433,1.0,4.322876595357681,3.843362772518309,5.0,1.156637227481691,4.969874182713217,3.99393831389302,4.999999999999998,1.006061686106978,0.21146431512430452,-0.0033591716662265307,0.000900840569942679,0.00426001223616921,,,,,,
MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,Adam,3,0.001,FreshAdamSign/GD,0.6392250926977854,-3.902561396893617e-07,,1.081716415943671e-06,0.6413288642750836,-3.846912493011471e-07,,1.0725458811276826e-06,0.6413288642750836,-0.3586711357249164,,1.0,1.684699908102771,0.7919494033649574,,1.156637227481691,1.215433679979381,0.21673957132428723,,1.006061686106978,0.8461918976537023,-0.0006552243980171945,,0.00426001223616921,6.914602762543093e-07,6.878546318265355e-07,0.6413288642750836,1.9485866308466484,1.2228012574312652,0.003604787838152015
